Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
1395,"1516949","XST (HK) Health Group Co., Limited","修身堂(香港)養生集團有限公司","XST (HK) Health Group Co., Limited","公司註冊編號 1516949 有限公司"," 09-02-2015"
1396,"2654293","Xinde Holding HK Information Consultation Management Service Limited","信德控股香港信息咨詢管理服務有限公司","Company Registration Number 2654293 Limited","公司註冊編號 2654293 有限公司"," 20-03-2019"
1397,"2627466","Xiuzheng Pharmaceutical Group Bio-pharmaceutical Co., Limited","修正藥業集團生物製藥有限公司","Company Registration Number 2627466 Limited","公司註冊編號 2627466 有限公司"," 25-01-2019"
1398,"1632677","YA GE ER HOME GROUP APPAREL CO., LIMITED","雅戈爾之家集團服飾有限公司","YA GE ER HOME GROUP APPAREL CO., LIMITED","公司註冊編號 1632677 有限公司"," 16-05-2012"
1399,"1609784","YAGEER (CHINA) FASHION INTERNATIONAL LIMITED","雅戈爾(中國)服飾國際有限公司","YAGEER (CHINA) FASHION INTERNATIONAL LIMITED","公司註冊編號 1609784 有限公司"," 07-05-2012"
1400,"2747684","YANZHIWU WANYAN BEIJING FOODS LIMITED","燕之屋碗宴北京食品有限公司","Company Registration Number 2747684 Limited","公司註冊編號 2747684 有限公司
"," 30-01-2019"
1401,"2277528","YASESHI SPORTS CO., LIMITED","亞瑟士體育有限公司","Company Registration Number 2277528 Limited","公司註冊編號 2277528 有限公司"," 15-03-2016"
1402,"2673687","YIERKANG GROUP (ITALY) LIMITED","意爾康集團(意大利)有限公司","YIERKANG GROUP (ITALY) LIMITED","公司註冊編號 2673687 有限公司"," 21-05-2019"
1403,"1778445","YIHE ELECTRONIC TECHNOLOGY CO., LIMITED","怡和電子科技有限公司","YIHE ELECTRONIC TECHNOLOGY CO., LIMITED","公司註冊編號 1778445 有限公司"," 30-10-2012"
1404,"1719330","YING HUANG INDUSTRIAL (INTERNATIONAL) CO., LIMITED","英皇美業(國際)有限公司","YING HUANG INDUSTRIAL (INTERNATIONAL) CO., LIMITED","公司註冊編號 1719330 有限公司"," 05-10-2012"
1405,"1679902","YINGHUANG INTERNATIONAL INVESTMENT MANAGE CO., LIMITED","英皇國際投資管理有限公司","YINGHUANG INTERNATIONAL INVESTMENT MANAGE CO., LIMITED","公司註冊編號 1679902 有限公司"," 12-09-2012"
